115 A, LÊ TRỌNG TẤN, PHƯỜNG SƠN KỲ
258, HÒA BÌNH, PHƯỜNG HIỆP TÂN
17, GÒ DẦU, PHƯỜNG/ XÃ
181, TÂY THẠNH, PHƯỜNG TÂY THẠNH
48, NGUYỄN XUÂN KHOÁT, PHƯỜNG TÂN SƠN NHÌ
7, HUỲNH THIỆN LỘC, PHƯỜNG HÒA THẠNH
S-07 LÔ A CC RUBY, BỜ BAO TÂN THẮNG, PHƯỜNG SƠN KỲ
118, TÂN HƯƠNG, PHƯỜNG TÂY QUÝ
87, THẠCH LAM, PHƯỜNG HIỆP TÂN
24, GÒ DẦU, PHƯỜNG TÂN SƠN NHÌ
457-459, ÂU CƠ, PHƯỜNG PHÚ TRUNG
683, ÂU CƠ, PHƯỜNG TÂN THÀNH
148, TÂN SƠN NHÌ, PHƯỜNG TÂN SƠN NHÌ
108, NGUYỄN CỬU ĐÀM, PHƯỜNG TÂN SƠN NHÌ
337 KIOS 004 CC, KHANG GIA, PHƯỜNG TÂN QUÝ
164, TRƯƠNG VĨNH KÝ, PHƯỜNG TÂN SƠN NHÌ
26, ĐỘC LẬP, PHƯỜNG TÂN THẠNH
282, LŨY BÁN BÍCH, PHƯỜNG HÒA THẠNH
171, GÒ DẦU, PHƯỜNG TÂN QUÝ
156, VƯỜN LÀI, PHƯỜNG TÂN THÀNH
347, ÂU CƠ, PHƯỜNG PHÚ TRUNG
43, THOẠI NGỌC HẦU, PHƯỜNG HÒA THẠNH
30B, BỜ BAO TÂN THẮNG, PHƯỜNG SƠN KỲ
009 CĂN HỘ 009, TÂY THẠNH, PHƯỜNG TÂY THÀNH
158, CÂY KEO, PHƯỜNG HIỆP TÂN
212, THẠCH LAM, PHƯỜNG PHÚ THẠNH
116, TÂN KỲ TÂN QUÝ, PHƯỜNG SƠN KỲ
360, LŨY BÁN BÍCH, PHƯỜNG HÒA THẠNH
SỐ 107-109, ĐƯỜNG ĐỘC LẬP , PHƯỜNG TÂN THÀNH
SỐ 310, ĐƯỜNG TÂN SƠN NHÌ,  PHƯỜNG TÂN SƠN NHÌ
79-81 , THỐNG NHẤT , TÂN THÀNH
