华东地区|浙江|义乌|http://www.dianping.com/yiwu|幸福湖国际会议中心|/shop/5419167|义乌其他||豪华型&风景不错&游泳池赞&服务好&很安静&很干净&早餐很棒&房间大|￥629|sml-str0|地址：后宅街道幸福湖路100号|0579-85788888
华东地区|浙江|义乌|http://www.dianping.com/yiwu|伊美广场酒店|/shop/2617888|绣湖|步行至大安寺塔6分钟|四星级酒店&风景不错&很干净&交通方便&位置好&服务好&早餐很棒&性价比高&家的感觉&很安静&房间大|￥304|sml-str40|地址：城中中路128号(近丹溪路，绣湖广场旁)|0579-85278888
华东地区|浙江|义乌|http://www.dianping.com/yiwu|温德姆国际酒店|/shop/8871869|福田商贸区|步行至横店镇横店影视城24分钟|舒适型&圆床&很干净&位置好&交通方便&服务好&早餐很棒&睡眠舒适&房间大&性价比高|￥228|sml-str35|地址：工人北路1167号(工人北路与银海路交叉路口西北角)|0579-85652888
华东地区|浙江|义乌|http://www.dianping.com/yiwu|义乌博览皇冠假日酒店|/shop/17161067|梅湖体育馆||豪华型&服务好&很干净&性价比高&交通方便&位置好&房间大&睡眠舒适|￥1138|sml-str40|地址：宗泽东路57号(义乌国际博览中心旁)|0579-85991801 0579-85798888
华东地区|浙江|义乌|http://www.dianping.com/yiwu|天恒国际大酒店|/shop/2057050|乐购||豪华型&很干净&服务好&交通方便&早餐很棒&位置好|￥428|sml-str40|地址：丹溪北路677号(餐饮部)|0579-85888888
华东地区|浙江|义乌|http://www.dianping.com/yiwu|义乌之江华美达广场酒店|/shop/5182516|商贸区|步行至龙逸轩6分钟|四星级酒店&服务好&早餐很棒&很干净&位置好&交通方便&房间大&很安静|￥338|sml-str40|地址：城中北路9号|0579-85388888
华东地区|浙江|义乌|http://www.dianping.com/yiwu|义乌君梦颐和大酒店|/shop/5182513|商贸区|步行至龙潭大峡谷漂流5分钟|四星级酒店&很干净&早餐很棒&交通方便&位置好|￥338|sml-str40|地址：工人北路2号|0579-83558888 0579-83818886
华东地区|浙江|义乌|http://www.dianping.com/yiwu|义乌大酒店|/shop/5177350|宾王商贸区|步行至横店镇横店影视城7分钟|四星级酒店&很干净&交通方便&服务好&位置好&早餐很棒&睡眠舒适&性价比高&很安静|￥521|sml-str40|地址：宾王路103号|0579-85559999
华东地区|浙江|义乌|http://www.dianping.com/yiwu|义乌锦都君澜大饭店|/shop/4037341|绣湖|步行至大安寺塔7分钟|豪华型&很干净&服务好&性价比高&交通方便&位置好&房间大&早餐很棒|￥532|sml-str40|地址：城中中路168号(绣湖公园旁，临近农贸城)|0579-85268888
华东地区|浙江|义乌|http://www.dianping.com/yiwu|义乌最佳西方海洋酒店|/shop/4069018|福田商贸区||四星级酒店&早餐很棒|￥433|sml-str45|地址：福田路99号(国际商贸城二期)|0579-85189177 0579-85188888
华东地区|浙江|义乌|http://www.dianping.com/yiwu|义乌银都酒店|/shop/4218240|宾王商贸区|步行至龙逸轩6分钟|四星级酒店&很干净&服务好&早餐很棒&睡眠舒适|￥543|sml-str40|地址：稠城街道宾王路168号|0579-85588888
华东地区|浙江|义乌|http://www.dianping.com/yiwu|格林豪泰商务酒店|/shop/8004977|商贸区||经济型&很干净&交通方便&性价比高|￥132|sml-str35|地址：工人北路1269号(工人北路和诚信大道交汇处)|0579-85339333
华东地区|浙江|义乌|http://www.dianping.com/yiwu|绿谷大酒店|/shop/8686894|商贸区|步行至龙逸轩1分钟|经济型&很干净&服务好&睡眠舒适&交通方便|￥188|sml-str35|地址：工人北路1211号|0579-85786888 0579-85786518
华东地区|浙江|义乌|http://www.dianping.com/yiwu|义乌商城宾馆|/shop/21755122|绣湖||高档型&设施新|￥498|sml-str40|地址：江滨中路180号|0579-85458833 0579-85458822
华东地区|浙江|义乌|http://www.dianping.com/yiwu|百瑞酒店|/shop/12040860|江东客运站|步行至横店瑶台胜境2分钟|舒适型&很干净|￥108|sml-str35|地址：稠城江东中路346号(近江东客运站)|0579-89925111
华东地区|浙江|义乌|http://www.dianping.com/yiwu|铭景之恋宾馆|/shop/10018130|商贸区|步行至龙潭大峡谷漂流1分钟|经济型|￥125|sml-str35|地址：化工路333号(近稠州北路)|0579-85206555
