中部西部|湖北|恩施|http://www.dianping.com/enshizhou|恩施瑞享国际酒店|/shop/13903629|民族学院|步行至土家女儿城16分钟|豪华型&很干净&服务好&睡眠舒适&很安静&性价比高|￥1480|sml-str50|地址：金桂大道6号(金桂大道与学院路交叉口)|0718-8313333
中部西部|湖北|恩施|http://www.dianping.com/enshizhou|恩施亚洲大酒店|/shop/5177174|恩施市其他|步行至清江闯滩9分钟|四星级酒店&服务好&很安静&很干净&位置好|￥229|sml-str40|地址：舞阳大道一巷122号|0718-8279888 0718-8279604
中部西部|湖北|恩施|http://www.dianping.com/enshizhou|利川国际大酒店|/shop/5146746|利川市其他||四星级酒店|￥218|sml-str45|地址：清江大道216号|0718-7261999
中部西部|湖北|恩施|http://www.dianping.com/enshizhou|恩施合和大唐金江酒店|/shop/13759379|沿江路|步行至清江闯滩7分钟|高档型&位置好|￥129|sml-str40|地址：清江东路15号(近恩施市清江桥头)|0718-8269999
中部西部|湖北|恩施|http://www.dianping.com/enshizhou|恩施富源国宾酒店|/shop/5155797|航空大道|步行至恩施州民族文化宫6分钟|四星级酒店&很干净&很安静|￥300|sml-str40|地址：航空大道96号（州电力总公司院内） ，近舞阳坝(州电力公司旁)|0718-8224483
中部西部|湖北|恩施|http://www.dianping.com/enshizhou|摆手缘宾馆|/shop/13759398|航空大道|步行至恩施州民族文化宫1分钟|舒适型&交通方便&房间大|￥118|sml-str40|地址：航空大道蓝天新居180号，蓝天新居E栋14层(州民族医院旁)|0718-8421888
中部西部|湖北|恩施|http://www.dianping.com/enshizhou|恩施怡和国际大酒店|/shop/4209118|沿江路|步行至风雨桥3分钟|四星级酒店&很干净&位置好&交通方便|￥298|sml-str35|地址：施州大道34号(施州大道体育场路交汇处)|0718-8247000 0718-8246666
中部西部|湖北|恩施|http://www.dianping.com/enshizhou|尚品国际酒店|/shop/6850887|利川市其他||四星级酒店|￥279|sml-str35|地址：清源大道88号|0718-7811111 13177137577
中部西部|湖北|恩施|http://www.dianping.com/enshizhou|恩施武陵都宾馆|/shop/5177166|恩施市其他|步行至土司城3分钟|高档型&很干净|￥318|sml-str40|地址：土司路138号，近大观园|0718-8459111
中部西部|湖北|恩施|http://www.dianping.com/enshizhou|半湾酒店|/shop/8674102|恩施市其他|步行至恩施州民族文化宫6分钟|舒适型|￥208|sml-str35|地址：航空大道60号(近中大御城)|0718-8222999
中部西部|湖北|恩施|http://www.dianping.com/enshizhou|瑞都假日酒店|/shop/6455217|航空大道|步行至恩施州民族文化宫12分钟|舒适型|￥149|sml-str30|地址：民族路27号瑞都香榭B栋(近恩施地税局)|0718-8024567
中部西部|湖北|恩施|http://www.dianping.com/enshizhou|帝苑大酒店|/shop/13759399|利川市其他||三星级酒店|￥108|sml-str30|地址：六合路62号(近新检察院旁)|0718-7016888
中部西部|湖北|恩施|http://www.dianping.com/enshizhou|多世福宾馆|/shop/18456768|火车站||经济型|￥118|sml-str30|地址：火车站商贸小区10-4号|13872738254 15826699618
中部西部|湖北|恩施|http://www.dianping.com/enshizhou|恩施小西湖国际度假中心|/shop/13754428|建始县其他|步行至野三河1分钟|四星级酒店|￥198|sml-str20|地址：花坪乡小西湖村(小西湖国际度假中心)|0718-3818800 0718-3818811
