中部西部|云南|西双版纳|http://www.dianping.com/xishuangbanna|西双版纳安纳塔拉度假酒店|/shop/5738357|勐腊县其他|步行至勐仑植物园11分钟|豪华型&别墅&中式古典风&服务好&位置好&很安静|￥1248|sml-str50|地址：勐仑镇近中科院西双版纳热带植物园|0691-8936666
中部西部|云南|西双版纳|http://www.dianping.com/xishuangbanna|西双版纳洲际度假酒店|/shop/8958192|景洪市其他||豪华型&小动物&中式古典风&别墅&风景不错&游泳池赞&服务好&很干净&早餐很棒&位置好&性价比高|￥1888|sml-str45|地址：西双版纳旅游渡假区二期曼弄枫片区榕林大道，近勐泐大佛寺|0691-2728888
中部西部|云南|西双版纳|http://www.dianping.com/xishuangbanna|西双版纳嘉盛华美达广场酒店|/shop/10658694|曼弄枫|步行至西双版纳总佛寺17分钟|豪华型&服务好&很干净&早餐很棒&性价比高&位置好&很安静&房间大|￥479|sml-str40|地址：景洪旅游度假区曼弄枫片区勐泐雨林公园旁，近大佛寺公园|0691-2568888 0691-2721608
中部西部|云南|西双版纳|http://www.dianping.com/xishuangbanna|西双版纳景兰会展大酒店|/shop/5351195|景洪市其他|步行至西双版纳总佛寺16分钟|豪华型&性价比高&位置好&服务好|￥259|sml-str35|地址：勐泐大道曼弄枫国际会展中心 ，近榕林大道|0691-2152222
中部西部|云南|西双版纳|http://www.dianping.com/xishuangbanna|景洪景兰大酒店|/shop/4658894|景洪市其他|步行至西双版纳旅游购物夜市场1分钟|四星级酒店&很干净&房间大&很安静|￥256|sml-str35|地址：景德路6号|0691-2129999
中部西部|云南|西双版纳|http://www.dianping.com/xishuangbanna|景洪新澜竹别墅大酒店|/shop/22558775|景洪市其他||高档型|￥208|sml-str40|地址：勐海路2号茶博园六大茶山区(紧邻滨江夜市傣江南酒吧一条街，靠近西双版纳滨江公园)|0691-2500188
中部西部|云南|西双版纳|http://www.dianping.com/xishuangbanna|西双版纳云投喜来登大酒店|/shop/19659841|景洪市其他||豪华型&游泳池赞&早餐很棒&服务好|￥570|sml-str40|地址：嘎洒镇云投路1号(嘎洒温泉)|0691-8991111
中部西部|云南|西双版纳|http://www.dianping.com/xishuangbanna|楠木啰娜酒店|/shop/17824419|景洪市其他||舒适型&服务好&很干净&交通方便&很安静|￥139|sml-str45|地址：曼弄枫菩提大道曼贡村新傣医院对面(近机场，近勐泐大佛寺景区)|0691-8998996
中部西部|云南|西双版纳|http://www.dianping.com/xishuangbanna|新傣园酒店|/shop/13755181|民族风情园|步行至民族风情园5分钟|豪华型&很安静|￥385|sml-str40|地址：民航路61号(勐海路与民航路交叉口，近风情园)|0691-2130558 0691-2166999
中部西部|云南|西双版纳|http://www.dianping.com/xishuangbanna|勐海国威大酒店|/shop/13759110|勐海县其他||豪华型|￥458|sml-str40|地址：南海路中段14号，与茶乡路交叉口(与茶乡路交叉口)|0691-3028888
中部西部|云南|西双版纳|http://www.dianping.com/xishuangbanna|景洪活发大酒店|/shop/13760331|民族风情园|步行至南药园2分钟|四星级酒店|￥315|sml-str35|地址：勐龙路8号 ，近景兰茶城|0691-2166888
中部西部|云南|西双版纳|http://www.dianping.com/xishuangbanna|瑞纳国际会员酒店|/shop/13760449|傣江南|步行至澜沧江漂流1分钟|高档型|￥229|sml-str40|地址：金沙滩观礼巷4号|0691-2150888
中部西部|云南|西双版纳|http://www.dianping.com/xishuangbanna|景洪金棕榈大酒店|/shop/5174136|南药园|步行至西双版纳热带花卉园3分钟|高档型&很干净|￥198|sml-str35|地址：宣慰大道93号 ，近西双版纳州职业技术学院|0691-2228687
中部西部|云南|西双版纳|http://www.dianping.com/xishuangbanna|大世界酒店|/shop/22294960|景洪市其他||经济型|￥118|sml-str35|地址：曼弄枫度假区曼贡|0691-2217788
