华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连云港花果山酒店|/shop/19179825|花果山|步行至蟠桃盛会生态园6分钟|豪华型&房间奢华&服务好&交通方便&很干净&位置好&早餐很棒&房间大&设施新&很安静|￥468|sml-str50|地址：花果山大道98号|0518-81089999
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连云港世纪缘国际酒店|/shop/5372195|海连路|步行至苍梧绿园13分钟|高档型&很干净&服务好&交通方便&位置好&房间大|￥348|sml-str40|地址：海连中路10号(海连东路与通灌南路交汇处)|0518-85782888 0518-85780677
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|国信云台大酒店|/shop/3704491|苍梧路|步行至苍梧绿园4分钟|五星级酒店&服务好&很干净&交通方便&早餐很棒&位置好&很安静&房间大|￥438|sml-str40|地址：苍梧路27号 ，近苍梧绿园(郁州北路与苍梧路交汇处)|0518-85686150 0518-85689999
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连云港嘉臣国际大酒店|/shop/14900882|东海县中心城区||豪华型&很干净&服务好&交通方便&位置好&睡眠舒适&很安静|￥469|sml-str40|地址：晶都大道99号(县政府，县体育馆)|0518-87778888
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连云港金苑大酒店|/shop/5530380|赣榆县其他||四星级酒店&房间大&早餐很棒|￥268|sml-str45|地址：新城区盛世路18号(行政服务中心对面)|0518-86666666
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|赣榆国际大酒店|/shop/6096885|赣榆县其他|步行至海州湾旅游度假区3分钟|高档型&房间大&早餐很棒&服务好&很干净&位置好&交通方便&性价比高|￥318|sml-str40|地址：后宫路38-99号|0518-86668666
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连云港明珠大酒店|/shop/5170511|南极路|步行至海滨浴场8分钟|高档型&很干净&早餐很棒&交通方便&服务好&位置好|￥168|sml-str40|地址：海连中路122号|0518-85519888
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|蔚蓝海岸国际大酒店|/shop/5170526|连云区||四星级酒店&风景不错&位置好&很干净&交通方便&服务好&很安静|￥312|sml-str45|地址：海棠北路188号|0518-85429999 0518-85429005
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连云港华美达广场酒店|/shop/5170527|连云区||豪华型&游泳池赞&很干净&服务好&早餐很棒&房间大&睡眠舒适&性价比高&交通方便&位置好|￥416|sml-str40|地址：经济技术开发区黄河路1号|0518-81199999
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|四季爱途酒店公寓|/shop/18524595|连云区||高档型&很干净&家的感觉|￥119|sml-str45|地址：墟沟大港西路东盛四季花城A9号楼87-2号|0518-81390287
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连云港东圆国际大酒店|/shop/13754477|灌云县其他||四星级酒店&服务好|￥259|sml-str45|地址：西苑南路8号|0518-88996666
