中部西部|湖南|长沙|http://www.dianping.com/changsha|长沙万达文华酒店|/shop/7995767|中山亭|步行至太平街8分钟|豪华型&风景不错&游泳池赞&服务好&交通方便&很干净&位置好&睡眠舒适&房间大&早餐很棒&很安静&性价比高&设施新|￥2332|sml-str0|地址：湘江中路一段308号(中山路口)|0731-88008888
中部西部|湖南|长沙|http://www.dianping.com/changsha|灰汤华天城温泉度假酒店|/shop/5610669|步行街|1km内无地铁站|高档型&温泉不错&风景不错&服务好&早餐很棒&很干净&很安静&位置好&交通方便|￥1888|sml-str50|地址：灰汤镇华天路华天城(近紫龙湾温泉国际大酒店)|0731-87456888
中部西部|湖南|长沙|http://www.dianping.com/changsha|长沙北辰洲际酒店|/shop/17792411|伍家岭|1km内无地铁站|豪华型&风景不错&服务好&很干净&交通方便&房间大&很安静&位置好|￥939|sml-str45|地址：湘江北路三段1500号(近北辰三角洲，4008825398 订房热线)|0731-89668866 0731-88197781
中部西部|湖南|长沙|http://www.dianping.com/changsha|长沙运达喜来登酒店|/shop/2327923|松桂园|步行至太平街20分钟|五星级酒店&游泳池赞&很干净&服务好&交通方便&睡眠舒适&位置好&房间大&很安静&家的感觉&早餐很棒&性价比高|￥994|sml-str40|地址：芙蓉中路一段478号|0731-84888888 0731-84888989
中部西部|湖南|长沙|http://www.dianping.com/changsha|长沙皇冠假日酒店|/shop/2503210|五一广场|步行至太平街5分钟|豪华型&风景不错&游泳池赞&位置好&交通方便&很干净&服务好&睡眠舒适&很安静&房间大&早餐很棒&性价比高&家的感觉|￥788|sml-str40|地址：五一大道868号|0731-82888888
中部西部|湖南|长沙|http://www.dianping.com/changsha|通程温泉大酒店|/shop/3331696|金洲大道|1km内无地铁站|豪华型&温泉不错&游泳池赞&交通方便&很干净&性价比高&房间大&睡眠舒适&很安静&位置好&服务好|￥340|sml-str40|地址：玉谭镇金州大道与宁乡大道交汇处(宁乡大道口)|0731-87108888
中部西部|湖南|长沙|http://www.dianping.com/changsha|圣爵菲斯大酒店|/shop/3288658|马栏山/月湖公园|1km内无地铁站|五星级酒店&别墅&风景不错&服务好&很干净&位置好&交通方便&很安静&房间大&早餐很棒&性价比高&设施新|￥653|sml-str40|地址：浏阳河大桥东金鹰影视文化城471号(近西湖楼)|0731-84252333
中部西部|湖南|长沙|http://www.dianping.com/changsha|鑫远白天鹅酒店|/shop/6153831|新省政府|1km内无地铁站|豪华型&很干净&服务好&交通方便&房间大&很安静&早餐很棒&位置好&睡眠舒适|￥519|sml-str40|地址：湘府中路258号(万豪国际娱乐会所旁边，近天心区政府)|0731-85899999
中部西部|湖南|长沙|http://www.dianping.com/changsha|豪布斯卡酒店|/shop/4280034|新省政府|1km内无地铁站|豪华型&游泳池赞&服务好&交通方便&很干净&房间大&早餐很棒&位置好&睡眠舒适|￥478|sml-str45|地址：湘府中路198号(天心区政府东200米，湘府路与五凌路交汇处)|89896666-22
中部西部|湖南|长沙|http://www.dianping.com/changsha|长沙金源阳光酒店|/shop/2328010|侯家塘|步行至白沙古井8分钟|四星级酒店&风景不错&很干净&交通方便&位置好&服务好&性价比高&自助餐很棒&睡眠舒适&很安静|￥208|sml-str40|地址：中路二段279号贺龙体育中心摩天轮对面(近东成大厦)|0731-85558888
中部西部|湖南|长沙|http://www.dianping.com/changsha|长沙小天鹅戴斯酒店|/shop/4724360|韭菜园|步行至天心阁17分钟|豪华型&交通方便&位置好&很干净&服务好&房间大&很安静&早餐很棒|￥569|sml-str35|地址：五一大道648号(近长沙古玩一条街)|0731-89899999
中部西部|湖南|长沙|http://www.dianping.com/changsha|橙子酒店|/shop/2811343|香樟路/民政学院|1km内无地铁站|三星级酒店&交通方便&很干净&位置好&服务好&很安静&性价比高|￥258|sml-str35|地址：城南路街道韶山南路498号(林科大东门口)|0731-85289888
中部西部|湖南|长沙|http://www.dianping.com/changsha|长沙现代凯莱大酒店|/shop/13011787|新省政府|1km内无地铁站|豪华型&交通方便&很干净&性价比高&睡眠舒适|￥538|sml-str40|地址：芙蓉南路二段128号(近工商局、地铁1号线桂花坪站2号口)|0731-88708888
中部西部|湖南|长沙|http://www.dianping.com/changsha|芙蓉华天大酒店|/shop/2328004|袁家岭|1km内无地铁站|四星级酒店&交通方便&位置好&服务好&很干净&房间大&很安静|￥268|sml-str40|地址：五一大道176号|0731-84401888
中部西部|湖南|长沙|http://www.dianping.com/changsha|长沙华雅国际大酒店|/shop/2327851|树木岭|1km内无地铁站|豪华型&小动物&中式古典风&很干净&交通方便&服务好&很安静&性价比高&位置好&早餐很棒&睡眠舒适|￥698|sml-str35|地址：万家丽中路二段81号 ，近劳动东路|0731-85322222
中部西部|湖南|长沙|http://www.dianping.com/changsha|君逸康年大酒店|/shop/2328019|侯家塘|步行至天心阁7分钟|四星级酒店&圆床&交通方便&很干净&位置好&服务好&房间大&很安静&早餐很棒&设施新|￥439|sml-str40|地址：芙蓉中路2段508号|0731-82327111 0731-82327222
中部西部|湖南|长沙|http://www.dianping.com/changsha|长沙普瑞酒店|/shop/1886593|市政府|1km内无地铁站|豪华型&温泉不错&高尔夫&服务好&很干净&很安静&早餐很棒&交通方便|￥542|sml-str40|地址：普瑞大道8号(近雷峰大道)|0731-88388888
中部西部|湖南|长沙|http://www.dianping.com/changsha|枫林宾馆|/shop/4280771|溁湾镇/新外滩|步行至蔡锷墓11分钟|四星级酒店&风景不错&很安静&交通方便&位置好&很干净&房间大&早餐很棒|￥8888|sml-str40|地址：枫林一路43号(2号地铁线溁湾镇站1号出口，近麓山路)|0731-88798777
中部西部|湖南|长沙|http://www.dianping.com/changsha|长沙隆华国际酒店|/shop/13897359|汽车东站|1km内无地铁站|豪华型&很干净&位置好&服务好|￥567|sml-str40|地址：红旗路199号|0731-89888988 0731-89888888
中部西部|湖南|长沙|http://www.dianping.com/changsha|长沙延年世纪酒店|/shop/5559290|四方坪|1km内无地铁站|高档型&很干净&交通方便&服务好&早餐很棒&性价比高&位置好&很安静|￥445|sml-str40|地址：车站北路406号三一大道与车站路交汇处东北角(近国防科大，湖南广电中心)|0731-88338383
中部西部|湖南|长沙|http://www.dianping.com/changsha|维也纳国际酒店|/shop/22053180|高桥|1km内无地铁站|高档型&风景不错&很干净&很安静|￥315|sml-str50|地址：东二环684号(长沙海关公交站旁边，长沙海关北侧)|0731-85593888
中部西部|湖南|长沙|http://www.dianping.com/changsha|兴威华天大酒店|/shop/5559183|新开铺|步行至南郊公园11分钟|高档型&很干净&位置好&交通方便&性价比高|￥298|sml-str40|地址：南二环306号，近南郊公园、中南林科大|0731-88099888
中部西部|湖南|长沙|http://www.dianping.com/changsha|宁乡碧桂园凤凰酒店|/shop/5558117|步行街|1km内无地铁站|豪华型&很干净&房间大|￥449|sml-str45|地址：金洲大道东288号碧桂园山湖城内(近麓谷、金洲新区工业园)|0731-88312222
中部西部|湖南|长沙|http://www.dianping.com/changsha|明城国际大酒店|/shop/2327974|长沙县|1km内无地铁站|五星级酒店&服务好&交通方便&很干净&早餐很棒&性价比高&位置好&很安静|￥529|sml-str40|地址：经济技术开发区星沙漓湘西路19号，近板仓路|0731-84651888
中部西部|湖南|长沙|http://www.dianping.com/changsha|湖南财信国际商务酒店|/shop/2609401|天心阁/白沙井|步行至天心阁4分钟|豪华型&位置好&交通方便&服务好&很干净|￥530|sml-str40|地址：城南西路1号(省财政厅院 ，近芙蓉中路)|0731-85196666
中部西部|湖南|长沙|http://www.dianping.com/changsha|长沙三景韦尔斯利酒店|/shop/21734812|长沙县|1km内无地铁站|豪华型&很干净&交通方便&服务好|￥558|sml-str40|地址：盼盼路88号|0731-86666888
中部西部|湖南|长沙|http://www.dianping.com/changsha|立达人酒店|/shop/5558445|新省政府|1km内无地铁站|豪华型&很安静&很干净&服务好&房间大&性价比高&交通方便&睡眠舒适|￥542|sml-str40|地址：御邦路22号(省地质博物馆斜对面)|0731-89822222
中部西部|湖南|长沙|http://www.dianping.com/changsha|华悦大酒店|/shop/6253886|伍家岭|步行至古开福寺11分钟|四星级酒店&交通方便&很干净&很安静|￥430|sml-str35|地址：芙蓉中路一段2号，近三一大道与芙蓉路交汇处西南角(伍家岭立交桥)|0731-84815061 0731-84815062
中部西部|湖南|长沙|http://www.dianping.com/changsha|银天大酒店|/shop/4195334|天马路/将军路|1km内无地铁站|豪华型&风景不错&交通方便&服务好&很干净&早餐很棒&位置好&房间大&睡眠舒适|￥448|sml-str40|地址：将军路1号|0731-83688888
