中部西部|江西|吉安|http://www.dianping.com/jian|吉安国际酒店|/shop/17708661|吉安县其他||豪华型&很干净&交通方便&服务好&房间大|￥358|sml-str50
中部西部|江西|吉安|http://www.dianping.com/jian|井冈山中泰来国际大酒店|/shop/5202285|井冈山市其他|步行至挹翠湖13分钟|豪华型&很干净&服务好&很安静&早餐很棒&房间大&位置好&交通方便|￥1188|sml-str45
中部西部|江西|吉安|http://www.dianping.com/jian|吉安望江楼大酒店|/shop/13905166|吉州区|步行至象山庵6分钟|高档型&交通方便&很干净&位置好|￥180|sml-str40
中部西部|江西|吉安|http://www.dianping.com/jian|井冈山锦江大酒店|/shop/5161868|井冈山市其他|步行至井冈山11分钟|四星级酒店&很干净&服务好&房间大|￥418|sml-str40
中部西部|江西|吉安|http://www.dianping.com/jian|吉安圣欧顿洲际大酒店|/shop/6253318|青原区||豪华型&早餐很棒&位置好|￥329|sml-str35
中部西部|江西|吉安|http://www.dianping.com/jian|吉安海联国际饭店|/shop/13763125|吉州区||豪华型|￥362|sml-str35
中部西部|江西|吉安|http://www.dianping.com/jian|井冈山衡山大酒店|/shop/13759799|井冈山市其他|步行至五指峰6分钟|高档型&很干净|￥418|sml-str35
中部西部|江西|吉安|http://www.dianping.com/jian|遂川伟业国际大酒店|/shop/11750660|遂川县其他||四星级酒店&早餐很棒&交通方便&很干净|￥238|sml-str40
中部西部|江西|吉安|http://www.dianping.com/jian|井冈山天乐府酒店|/shop/4533647|井冈山市其他|步行至挹翠湖6分钟|四星级酒店&很干净&位置好|￥368|sml-str45
中部西部|江西|吉安|http://www.dianping.com/jian|井冈山江山大酒店|/shop/21699499|井冈山市其他||高档型|￥340|sml-str35
中部西部|江西|吉安|http://www.dianping.com/jian|米西宾馆|/shop/5161872|吉州区|步行至象山庵12分钟|舒适型||sml-str35
中部西部|江西|吉安|http://www.dianping.com/jian|井冈山奥源大酒店|/shop/5187401|井冈山市其他|步行至五指峰9分钟|高档型&很干净&交通方便|￥278|sml-str35
中部西部|江西|吉安|http://www.dianping.com/jian|井冈山映山红宾馆|/shop/5161865|井冈山市其他|步行至挹翠湖12分钟|四星级酒店&很安静&服务好|￥369|sml-str35
中部西部|江西|吉安|http://www.dianping.com/jian|井冈山滴翠苑宾馆|/shop/6203153|井冈山市其他|步行至五指峰5分钟|高档型|￥288|sml-str35
中部西部|江西|吉安|http://www.dianping.com/jian|圣地山庄|/shop/5163499|井冈山市其他|步行至挹翠湖12分钟|舒适型||sml-str35
中部西部|江西|吉安|http://www.dianping.com/jian|南湖宾馆|/shop/11851925|井冈山市其他|步行至挹翠湖10分钟|高档型||sml-str40
中部西部|江西|吉安|http://www.dianping.com/jian|中煤宾馆|/shop/5163480|井冈山市其他|步行至挹翠湖9分钟|经济型|￥320|sml-str30
中部西部|江西|吉安|http://www.dianping.com/jian|银星大酒店|/shop/11852009|井冈山市其他|步行至挹翠湖10分钟|舒适型||sml-str35
中部西部|江西|吉安|http://www.dianping.com/jian|君弘大酒店|/shop/6116950|吉水县其他||舒适型&位置好||sml-str20
中部西部|江西|吉安|http://www.dianping.com/jian|瀚泽国际大酒店|/shop/13901968|井冈山市其他|步行至象山庵12分钟|高档型||sml-str35
