华北东北|吉林|长春|http://www.dianping.com/changchun|长春艾博丽思大饭店|/shop/13771252|吉大南校|步行至硅谷大街轻轨站2分钟|豪华型&很干净&服务好&交通方便&睡眠舒适&房间大&位置好&很安静&性价比高&设施新|￥638|sml-str50
华北东北|吉林|长春|http://www.dianping.com/changchun|长春香格里拉大酒店|/shop/2188048|重庆路/人民广场|步行至人民广场7分钟|五星级酒店&欧舒丹洗浴用品&游泳池赞&服务好&很干净&交通方便&位置好&早餐很棒&房间大&家的感觉&睡眠舒适&自助餐很棒|￥945|sml-str40
华北东北|吉林|长春|http://www.dianping.com/changchun|长春国商酒店|/shop/13753999|火车站|步行至长春轻轨站1分钟|高档型&很干净&交通方便&早餐很棒&位置好&房间大&很安静&服务好&性价比高&睡眠舒适|￥229|sml-str40
华北东北|吉林|长春|http://www.dianping.com/changchun|长春开元名都大酒店|/shop/4198057|锦江广场/电影城|步行至长春电影城18分钟|五星级酒店&游泳池赞&服务好&交通方便&房间大&早餐很棒&设施新&很干净&睡眠舒适&很安静|￥488|sml-str40
华北东北|吉林|长春|http://www.dianping.com/changchun|南湖宾馆|/shop/2338324|南湖公园|步行至大佛寺12分钟|豪华型&中式古典风&小动物&世外桃源&别墅&风景不错&交通方便&位置好&早餐很棒&性价比高&设施新|￥576|sml-str45
华北东北|吉林|长春|http://www.dianping.com/changchun|伍厘米●公寓酒店|/shop/2252974|胜利公园|步行至基督教堂3分钟|经济型&圆床&很干净&交通方便&位置好&房间大&很安静&家的感觉|￥109|sml-str40
华北东北|吉林|长春|http://www.dianping.com/changchun|长春卓展天天酒店|/shop/2187880|重庆路/人民广场|步行至重庆路步行街7分钟|豪华型&很干净&服务好&交通方便&位置好&房间大&早餐很棒&睡眠舒适&很安静&性价比高&自助餐很棒|￥418|sml-str40
华北东北|吉林|长春|http://www.dianping.com/changchun|长春意江南利洋大酒店|/shop/5694798|建设街|步行至西安桥轻轨站6分钟|四星级酒店&交通方便&服务好&很干净&睡眠舒适&早餐很棒&位置好&很安静&性价比高|￥457|sml-str40
华北东北|吉林|长春|http://www.dianping.com/changchun|长春净月潭益田喜来登酒店|/shop/5332346|净月潭|步行至长影世纪城14分钟|豪华型&游泳池赞&风景不错&服务好&很干净&位置好&房间大&早餐很棒&交通方便&很安静&设施新&睡眠舒适|￥836|sml-str40
华北东北|吉林|长春|http://www.dianping.com/changchun|长春金安大饭店|/shop/2465557|重庆路/人民广场|步行至人民广场10分钟|豪华型&服务好&很干净&交通方便&位置好&早餐很棒&很安静&房间大&性价比高&睡眠舒适&设施新&自助餐很棒|￥606|sml-str40
华北东北|吉林|长春|http://www.dianping.com/changchun|长春拉图摩根酒店|/shop/5191950|重庆路/人民广场|步行至大佛寺5分钟|豪华型&很干净&交通方便&服务好&位置好&早餐很棒&房间大&很安静&性价比高&睡眠舒适|￥392|sml-str35
华北东北|吉林|长春|http://www.dianping.com/changchun|长春中长大厦酒店|/shop/8349874|火车站|步行至辽宁路轻轨站3分钟|高档型&很干净&位置好|￥215|sml-str40
华北东北|吉林|长春|http://www.dianping.com/changchun|长春海航紫荆花饭店|/shop/2338330|南湖公园|步行至解放纪念碑12分钟|豪华型&交通方便&服务好&很干净&位置好&早餐很棒&很安静&性价比高&房间大&睡眠舒适|￥367|sml-str35
华北东北|吉林|长春|http://www.dianping.com/changchun|长春海航名门酒店|/shop/2188039|桂林路|步行至解放纪念碑17分钟|五星级酒店&游泳池赞&很干净&交通方便&服务好&位置好&早餐很棒&性价比高&家的感觉&很安静&房间大&睡眠舒适|￥362|sml-str40
华北东北|吉林|长春|http://www.dianping.com/changchun|吉林省松苑宾馆|/shop/2338357|胜利公园|步行至长白山第一漂13分钟|五星级酒店&中式古典风&很安静&服务好&很干净&位置好&交通方便&性价比高&睡眠舒适&房间大&家的感觉|￥410|sml-str40
华北东北|吉林|长春|http://www.dianping.com/changchun|国盛大酒店|/shop/6135987|重庆路/人民广场|步行至大佛寺6分钟|四星级酒店&服务好&很干净&早餐很棒&房间大&交通方便&很安静|￥420|sml-str40
华北东北|吉林|长春|http://www.dianping.com/changchun|长春亚泰龙达饭店|/shop/2338345|东盛|步行至吉林大路轻轨站9分钟|高档型&很干净|￥348|sml-str40
华北东北|吉林|长春|http://www.dianping.com/changchun|长春海航长白山宾馆|/shop/2338378|桂林路|步行至新民广场2分钟|四星级酒店&中式古典风&风景不错&交通方便&很干净&位置好&服务好&早餐很棒&很安静&房间大|￥433|sml-str40
华北东北|吉林|长春|http://www.dianping.com/changchun|长春名人酒店|/shop/2338321|南湖公园|步行至大佛寺1分钟|四星级酒店&风景不错&很安静&服务好&很干净&位置好&早餐很棒&性价比高&睡眠舒适&交通方便&房间大|￥369|sml-str40
华北东北|吉林|长春|http://www.dianping.com/changchun|嘉旗酒店|/shop/4708365|新天地购物公园|步行至基督教堂9分钟|经济型&复式房&很干净&交通方便&家的感觉&服务好&位置好&房间大|￥159|sml-str40
华北东北|吉林|长春|http://www.dianping.com/changchun|长春华美达大酒店|/shop/3446983|南岭|1km内无地铁站|豪华型&服务好&很干净&交通方便|￥594|sml-str40
华北东北|吉林|长春|http://www.dianping.com/changchun|长春前进大厦酒店|/shop/2338339|南湖公园|步行至前进西轻轨站7分钟|高档型&服务好&很干净&交通方便&房间大&位置好&早餐很棒&很安静|￥298|sml-str40
华北东北|吉林|长春|http://www.dianping.com/changchun|吉林省金领宾馆|/shop/18383138|南岭|1km内无地铁站|豪华型&很干净&服务好|￥383|sml-str40
华北东北|吉林|长春|http://www.dianping.com/changchun|长春新民宾馆|/shop/13754010|桂林路|步行至伪满洲国国务院旧址7分钟|四星级酒店&交通方便&很干净&位置好&很安静|￥419|sml-str40
华北东北|吉林|长春|http://www.dianping.com/changchun|长春花园酒店|/shop/2188066|东风大街|步行至长春电影城20分钟|四星级酒店&早餐很棒&位置好&服务好&很干净|￥988|sml-str35
华北东北|吉林|长春|http://www.dianping.com/changchun|华苑宾馆|/shop/2134276|卫星广场|步行至卫星广场轻轨站3分钟|舒适型&很干净&交通方便&位置好&房间大&性价比高&服务好|￥223|sml-str40
华北东北|吉林|长春|http://www.dianping.com/changchun|宏仁商务宾馆|/shop/19291926|赛得广场|1km内无地铁站|经济型&很干净&交通方便|￥168|sml-str40
华北东北|吉林|长春|http://www.dianping.com/changchun|圣都大酒店|/shop/5162241|东盛|步行至吉林大路轻轨站6分钟|舒适型&交通方便&房间大&很干净||sml-str35
华北东北|吉林|长春|http://www.dianping.com/changchun|长春教育宾馆|/shop/13753997|赛得广场|步行至自由大路轻轨站5分钟|舒适型||sml-str35
