中部西部|湖南|长沙|http://www.dianping.com/changsha|长沙万达文华酒店|/shop/7995767|中山亭|步行至太平街8分钟|豪华型&风景不错&游泳池赞&服务好&交通方便&很干净&位置好&睡眠舒适&房间大&早餐很棒&很安静&性价比高&设施新|￥2332|sml-str0
中部西部|湖南|长沙|http://www.dianping.com/changsha|灰汤华天城温泉度假酒店|/shop/5610669|步行街|1km内无地铁站|高档型&温泉不错&风景不错&服务好&早餐很棒&很干净&很安静&位置好&交通方便|￥1888|sml-str50
中部西部|湖南|长沙|http://www.dianping.com/changsha|长沙北辰洲际酒店|/shop/17792411|伍家岭|1km内无地铁站|豪华型&风景不错&服务好&很干净&交通方便&房间大&很安静&位置好|￥939|sml-str45
中部西部|湖南|长沙|http://www.dianping.com/changsha|长沙运达喜来登酒店|/shop/2327923|松桂园|步行至太平街20分钟|五星级酒店&游泳池赞&很干净&服务好&交通方便&睡眠舒适&位置好&房间大&很安静&家的感觉&早餐很棒&性价比高|￥994|sml-str40
中部西部|湖南|长沙|http://www.dianping.com/changsha|长沙皇冠假日酒店|/shop/2503210|五一广场|步行至太平街5分钟|豪华型&风景不错&游泳池赞&位置好&交通方便&很干净&服务好&睡眠舒适&很安静&房间大&早餐很棒&性价比高&家的感觉|￥788|sml-str40
中部西部|湖南|长沙|http://www.dianping.com/changsha|通程温泉大酒店|/shop/3331696|金洲大道|1km内无地铁站|豪华型&温泉不错&游泳池赞&交通方便&很干净&性价比高&房间大&睡眠舒适&很安静&位置好&服务好|￥340|sml-str40
中部西部|湖南|长沙|http://www.dianping.com/changsha|圣爵菲斯大酒店|/shop/3288658|马栏山/月湖公园|1km内无地铁站|五星级酒店&别墅&风景不错&服务好&很干净&位置好&交通方便&很安静&房间大&早餐很棒&性价比高&设施新|￥653|sml-str40
中部西部|湖南|长沙|http://www.dianping.com/changsha|鑫远白天鹅酒店|/shop/6153831|新省政府|1km内无地铁站|豪华型&很干净&服务好&交通方便&房间大&很安静&早餐很棒&位置好&睡眠舒适|￥519|sml-str40
中部西部|湖南|长沙|http://www.dianping.com/changsha|豪布斯卡酒店|/shop/4280034|新省政府|1km内无地铁站|豪华型&游泳池赞&服务好&交通方便&很干净&房间大&早餐很棒&位置好&睡眠舒适|￥478|sml-str45
中部西部|湖南|长沙|http://www.dianping.com/changsha|长沙金源阳光酒店|/shop/2328010|侯家塘|步行至白沙古井8分钟|四星级酒店&风景不错&很干净&交通方便&位置好&服务好&性价比高&自助餐很棒&睡眠舒适&很安静|￥208|sml-str40
中部西部|湖南|长沙|http://www.dianping.com/changsha|长沙小天鹅戴斯酒店|/shop/4724360|韭菜园|步行至天心阁17分钟|豪华型&交通方便&位置好&很干净&服务好&房间大&很安静&早餐很棒|￥569|sml-str35
中部西部|湖南|长沙|http://www.dianping.com/changsha|橙子酒店|/shop/2811343|香樟路/民政学院|1km内无地铁站|三星级酒店&交通方便&很干净&位置好&服务好&很安静&性价比高|￥258|sml-str35
中部西部|湖南|长沙|http://www.dianping.com/changsha|长沙现代凯莱大酒店|/shop/13011787|新省政府|1km内无地铁站|豪华型&交通方便&很干净&性价比高&睡眠舒适|￥538|sml-str40
中部西部|湖南|长沙|http://www.dianping.com/changsha|芙蓉华天大酒店|/shop/2328004|袁家岭|1km内无地铁站|四星级酒店&交通方便&位置好&服务好&很干净&房间大&很安静|￥268|sml-str40
中部西部|湖南|长沙|http://www.dianping.com/changsha|长沙华雅国际大酒店|/shop/2327851|树木岭|1km内无地铁站|豪华型&小动物&中式古典风&很干净&交通方便&服务好&很安静&性价比高&位置好&早餐很棒&睡眠舒适|￥698|sml-str35
中部西部|湖南|长沙|http://www.dianping.com/changsha|君逸康年大酒店|/shop/2328019|侯家塘|步行至天心阁7分钟|四星级酒店&圆床&交通方便&很干净&位置好&服务好&房间大&很安静&早餐很棒&设施新|￥439|sml-str40
